epoch,train_loss,train_classification_loss,train_ordinal_loss,lr,val_loss,val_qwk,val_accuracy,val_macro_f1,val_mae,val_within_one_accuracy,per_class_precision.No DR (Normal),per_class_precision.Mild DR,per_class_precision.Moderate DR,per_class_precision.Severe DR,per_class_precision.Proliferative DR (PDR),per_class_recall.No DR (Normal),per_class_recall.Mild DR,per_class_recall.Moderate DR,per_class_recall.Severe DR,per_class_recall.Proliferative DR (PDR),per_class_f1.No DR (Normal),per_class_f1.Mild DR,per_class_f1.Moderate DR,per_class_f1.Severe DR,per_class_f1.Proliferative DR (PDR)
0,0.5843265364096001,0.9176058516888214,0.2510472188766355,9.990133642141359e-05,0.5532916382301686,0.8145167436401604,0.7151162790697675,0.47710995276223206,0.45058139534883723,0.8546511627906976,0.9883040935672515,0.47058823529411764,0.7272727272727273,0.0,0.25,0.9825581395348837,0.47058823529411764,0.43478260869565216,0.0,0.84,0.9854227405247813,0.47058823529411764,0.54421768707483,0.0,0.3853211009174312
1,0.5138146131671139,0.836461566950771,0.19116765624958323,9.96057350657239e-05,0.5114616516024567,0.8163121746581913,0.7703488372093024,0.4338827398967259,0.311046511627907,0.9244186046511628,0.9939759036144579,0.46153846153846156,0.58,0.0,0.5,0.9593023255813954,0.35294117647058826,0.9456521739130435,0.0,0.04,0.9763313609467456,0.4,0.71900826446281,0.0,0.07407407407407407
2,0.4890081296401774,0.8026445561523281,0.17537170082849624,9.911436253643444e-05,0.468894993149957,0.8836108930121079,0.811046511627907,0.5479299277596578,0.24709302325581395,0.9505813953488372,0.9941520467836257,0.6470588235294118,0.6587301587301587,0.0,0.5172413793103449,0.9883720930232558,0.3235294117647059,0.9021739130434783,0.0,0.6,0.9912536443148688,0.43137254901960786,0.7614678899082569,0.0,0.5555555555555556
3,0.463685425079166,0.7677716117908052,0.1595992355185509,9.842915805643155e-05,0.4551201337991759,0.8645147738411987,0.8023255813953488,0.5195686643561488,0.25872093023255816,0.9447674418604651,1.0,0.65,0.6170212765957447,0.0,0.5833333333333334,0.9825581395348837,0.38235294117647056,0.9456521739130435,0.0,0.28,0.9912023460410557,0.48148148148148145,0.7467811158798283,0.0,0.3783783783783784
4,0.45064175100447007,0.7507326218731047,0.15055088128051322,9.755282581475769e-05,0.45000655429307806,0.876774113011338,0.8284883720930233,0.5944470120236569,0.23255813953488372,0.9534883720930233,0.9884393063583815,0.6363636363636364,0.6991150442477876,0.0,0.6086956521739131,0.9941860465116279,0.6176470588235294,0.8586956521739131,0.0,0.56,0.991304347826087,0.6268656716417911,0.7707317073170732,0.0,0.5833333333333334
5,0.4438742199380392,0.742905415134163,0.14484302472156566,9.648882429441257e-05,0.45342300243155903,0.8853265515702542,0.8052325581395349,0.5829763880674844,0.2441860465116279,0.9593023255813954,0.9884393063583815,0.7222222222222222,0.6583333333333333,0.2,0.6111111111111112,0.9941860465116279,0.38235294117647056,0.8586956521739131,0.14285714285714285,0.44,0.991304347826087,0.5,0.7452830188679245,0.16666666666666666,0.5116279069767442
6,0.4398068067522007,0.7356455443295329,0.14396806663114,9.524135262330098e-05,0.48164071731789165,0.887614606964758,0.8168604651162791,0.5877022412615635,0.23546511627906977,0.9593023255813954,1.0,0.6,0.6991869918699187,0.2,0.5555555555555556,0.9534883720930233,0.4411764705882353,0.9347826086956522,0.047619047619047616,0.6,0.9761904761904762,0.5084745762711864,0.8,0.07692307692307693,0.5769230769230769
7,0.4359682522034963,0.7309808042847935,0.14095570044779623,9.381533400219317e-05,0.46643074515253996,0.88335438005706,0.811046511627907,0.6186601834610489,0.25872093023255816,0.9418604651162791,0.9941176470588236,0.6666666666666666,0.7346938775510204,0.4,0.42857142857142855,0.9825581395348837,0.47058823529411764,0.782608695652174,0.19047619047619047,0.72,0.9883040935672515,0.5517241379310345,0.7578947368421053,0.25806451612903225,0.5373134328358209
8,0.4241707745002129,0.7162811670257762,0.13206038057051164,9.221639627510075e-05,0.44178938449815264,0.9003214226305142,0.8343023255813954,0.6162432846744632,0.20930232558139536,0.9651162790697675,0.9827586206896551,0.7307692307692307,0.7130434782608696,0.14285714285714285,0.6363636363636364,0.9941860465116279,0.5588235294117647,0.8913043478260869,0.047619047619047616,0.56,0.9884393063583815,0.6333333333333333,0.7922705314009661,0.07142857142857142,0.5957446808510638
9,0.4162943923623947,0.7033079846314743,0.12928080033751305,9.045084971874735e-05,0.4528264313243156,0.9115125672139419,0.8226744186046512,0.6359907964559127,0.21511627906976744,0.9680232558139535,0.9941860465116279,0.7777777777777778,0.7169811320754716,0.2631578947368421,0.5862068965517241,0.9941860465116279,0.4117647058823529,0.8260869565217391,0.23809523809523808,0.68,0.9941860465116279,0.5384615384615384,0.7676767676767676,0.25,0.6296296296296297
