background_pct,tissue_pct,crop_would_help,mean_brightness,std_brightness,split,diagnosis
16.65,83.35,True,66.14,30.45,train,1
20.73,79.27,True,85.52,45.05,train,0
52.45,47.55,True,41.19,45.33,train,0
20.82,79.18,True,81.72,44.56,train,0
16.71,83.29,True,56.63,29.22,train,3
52.45,47.55,True,56.17,60.37,train,0
16.61,83.39,True,90.23,40.29,train,2
20.95,79.05,True,75.22,40.95,train,0
25.32,74.68,True,83.85,48.98,train,2
9.54,90.46,False,54.81,24.96,train,3
25.33,74.67,True,92.74,53.94,train,2
52.47,47.53,True,45.62,52.09,train,0
20.9,79.1,True,78.8,43.57,train,0
24.45,75.55,True,68.04,39.72,train,4
8.15,91.85,False,68.56,27.55,train,0
20.93,79.07,True,77.27,41.58,train,0
9.59,90.41,False,51.77,23.5,train,3
20.93,79.07,True,94.15,51.44,train,0
25.45,74.55,True,69.02,41.7,train,2
52.57,47.43,True,40.34,44.78,train,0
20.88,79.12,True,83.71,44.44,train,0
52.54,47.46,True,48.67,52.84,train,0
52.44,47.56,True,49.26,56.14,train,0
16.68,83.32,True,73.76,33.68,train,1
52.43,47.57,True,55.15,60.77,train,0
52.49,47.51,True,42.3,46.24,train,0
25.4,74.6,True,68.31,40.73,train,2
25.49,74.51,True,57.76,35.58,train,4
20.89,79.11,True,71.3,39.44,train,0
52.45,47.55,True,41.89,45.76,train,0
1.2,98.8,False,65.49,25.3,train,0
16.68,83.32,True,75.87,37.17,train,2
25.62,74.38,True,68.69,40.42,train,2
8.94,91.06,False,74.48,39.87,train,2
9.9,90.1,False,27.37,12.47,train,4
52.41,47.59,True,57.02,61.78,train,0
20.85,79.15,True,93.52,49.67,train,0
20.94,79.06,True,81.88,44.55,train,0
9.36,90.64,False,55.02,19.59,train,0
52.52,47.48,True,49.3,54.11,train,0
21.02,78.98,True,67.55,37.0,train,2
25.46,74.54,True,61.66,36.58,train,2
20.3,79.7,True,37.93,22.05,train,0
24.84,75.16,True,68.07,40.46,train,4
25.4,74.6,True,82.21,48.17,train,2
20.32,79.68,True,39.48,25.84,train,0
25.33,74.67,True,92.05,53.73,train,2
25.31,74.69,True,93.67,54.02,train,2
20.81,79.19,True,84.3,44.84,train,0
20.82,79.18,True,72.62,38.84,train,0
52.46,47.54,True,45.67,49.58,train,0
16.74,83.26,True,61.21,30.23,train,2
20.75,79.25,True,88.68,46.7,train,0
